Handle,Variant SKU,Variant Barcode,Title,Command,Variant Command,Tags Command,Body (HTML),Vendor,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Variant Image,Image Src,Image Alt Text,Image Position,SEO Title,SEO Description,Status,Variant Country of Origin,Type,Type: Standard,Metafield: custom.compatible_with [list.single_line_text_field],Metafield: custom.multiple_material [list.single_line_text_field],Metafield: custom.storrelse [single_line_text_field],Variant Metafield: custom.farve [list.color],Metafield: mm-google-shopping.custom_product [string]
LCW37-00-002,LCW37-00-002-1,5714011956397,Super rart Universal TomTom Silikone Urrem,MERGE,MERGE,MERGE,"En god urrem, perfekt til dit håndled og smartwatch. <br/><b><i>Pakken inkluderer kun urremmen. Uret medfølger ikke.</i></b>",TomTom,"TomTom Golfer 2, TomTom Runner 3, TomTom Runner 3 Series",Serie,1,Farve,Sort,,,100,shopify,4,deny,manual,199,249,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-1.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-1.jpg,#serie_1,1,,,active,SE,Urrem,Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands,"TomTom Golfer 2, TomTom Runner 3",Silikone,One-size,#000000,false
LCW37-00-002,LCW37-00-002-3,5714011956410,,MERGE,MERGE,MERGE,,,,Serie,3,Farve,Sølv,,,100,shopify,2,deny,manual,199,249,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-3.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-3.jpg,#serie_3,1,,,active,SE,,,,,,#c0c0c0,false
LCW37-00-002,LCW37-00-002-4,5714011956427,,MERGE,MERGE,MERGE,,,,Serie,4,Farve,Rød,,,100,shopify,2,deny,manual,199,249,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-4.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-4.jpg,#serie_4,1,,,active,SE,,,,,,#d61c25,false
LCW37-00-002,LCW37-00-002-5,5714011956434,,MERGE,MERGE,MERGE,,,,Serie,5,Farve,Pink,,,100,shopify,2,deny,manual,199,249,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-5.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-5.jpg,#serie_5,1,,,active,SE,,,,,,#e024c4,false
LCW37-00-002,LCW37-00-002-6,5714011956441,,MERGE,MERGE,MERGE,,,,Serie,6,Farve,Grøn,,,100,shopify,1,deny,manual,199,249,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-6.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-6.jpg,#serie_6,1,,,active,SE,,,,,,#29ad29,false
LCW37-00-002,LCW37-00-002-7,5714011956458,,MERGE,MERGE,MERGE,,,,Serie,7,Farve,Grøn,,,100,shopify,3,deny,manual,199,249,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-7.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-7.jpg,#serie_7,1,,,active,SE,,,,,,#29ad29,false
LCW37-00-002,LCW37-00-002-8,5714011956465,,MERGE,MERGE,MERGE,,,,Serie,8,Farve,Grøn,,,100,shopify,1,deny,manual,239,299,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-8.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-8.jpg,#serie_8,1,,,active,SE,,,,,,#29ad29,false
LCW37-00-002,LCW37-00-002-9,5714011956472,,MERGE,MERGE,MERGE,,,,Serie,9,Farve,Blå,,,100,shopify,2,deny,manual,199,249,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-9.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-9.jpg,#serie_9,1,,,active,SE,,,,,,#0430e0,false
LCW37-00-002,LCW37-00-002-10,5714011956489,,MERGE,MERGE,MERGE,,,,Serie,10,Farve,Blå,,,100,shopify,3,deny,manual,199,249,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-10.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-10.jpg,#serie_10,1,,,active,SE,,,,,,#0430e0,false
LCW37-00-002,LCW37-00-002-11,5714011956496,,MERGE,MERGE,MERGE,,,,Serie,11,Farve,Lilla,,,100,shopify,1,deny,manual,199,249,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-11.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-002-11.jpg,#serie_11,1,,,active,SE,,,,,,#8213c2,false
LCW37-00-003,LCW37-00-003-1,5714011956519,Helt vildt behagelig Universal TomTom Silikone Urrem,MERGE,MERGE,MERGE,"En god urrem, perfekt til dit håndled og smartwatch. <br/><b><i><b>Bemærk venligst:</b> der medfølger ikke et smartwatch med. Kun remmen.</i></b>",TomTom,"TomTom Runner 2, TomTom Runner 3, TomTom Runner 3 Series",Serie,1,Farve,Hvid,,,100,shopify,3,deny,manual,229,279,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-1.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-1.jpg,#serie_1,1,,,active,SE,Urrem,Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands,"TomTom Runner 2, TomTom Runner 3",Silikone,One-size,#ffffff,false
LCW37-00-003,LCW37-00-003-5,5714011956557,,MERGE,MERGE,MERGE,,,,Serie,5,Farve,Rød,,,100,shopify,2,deny,manual,229,279,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-5.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-5.jpg,#serie_5,1,,,active,SE,,,,,,#d61c25,false
LCW37-00-003,LCW37-00-003-6,5714011956564,,MERGE,MERGE,MERGE,,,,Serie,6,Farve,Sølv,,,100,shopify,3,deny,manual,229,279,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-6.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-6.jpg,#serie_6,1,,,active,SE,,,,,,#c0c0c0,false
LCW37-00-003,LCW37-00-003-7,5714011956571,,MERGE,MERGE,MERGE,,,,Serie,7,Farve,Blå,,,100,shopify,1,deny,manual,229,279,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-7.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-003-7.jpg,#serie_7,1,,,active,SE,,,,,,#0430e0,false
LCW37-00-004,LCW37-00-004-1,5714864048317,Vildt komfortabel Universal TomTom Silikone Urrem,MERGE,MERGE,MERGE,En rem der redder din næste løbetur. <br/><br/><b>Mål:</b><br/>Størrelse: 22.5x2.2x0.3cm<br/><br/><b><i><b>Bemærk venligst:</b> der medfølger ikke et smartwatch med. Kun remmen.</i></b>,TomTom,"TomTom Runner 2, TomTom Runner 3, TomTom Runner 3 Series",Serie,1,Farve,Sort,,,100,shopify,1,deny,manual,169,209,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1_95.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-1_95.jpg,#serie_1,1,,,active,SE,Urrem,Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands,"TomTom Runner 2, TomTom Runner 3",Silikone,One-size,#000000,false
LCW37-00-004,LCW37-00-004-2,5714864048324,,MERGE,MERGE,MERGE,,,,Serie,2,Farve,Hvid,,,100,shopify,1,deny,manual,169,209,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-2_96.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-2_96.jpg,#serie_2,1,,,active,SE,,,,,,#ffffff,false
LCW37-00-004,LCW37-00-004-3,5714864048331,,MERGE,MERGE,MERGE,,,,Serie,3,Farve,Sølv,,,100,shopify,0,deny,manual,169,209,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-3_97.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-3_97.jpg,#serie_3,1,,,active,SE,,,,,,#c0c0c0,false
LCW37-00-004,LCW37-00-004-4,5714864048348,,MERGE,MERGE,MERGE,,,,Serie,4,Farve,Rød,,,100,shopify,1,deny,manual,169,209,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-4_98.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-4_98.jpg,#serie_4,1,,,active,SE,,,,,,#d61c25,false
LCW37-00-004,LCW37-00-004-5,5714864048355,,MERGE,MERGE,MERGE,,,,Serie,5,Farve,Lilla,,,100,shopify,1,deny,manual,169,209,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-5.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-5.jpg,#serie_5,1,,,active,SE,,,,,,#8213c2,false
LCW37-18-001,LCW37-18-001-1,5714864546004,Vildt komfortabel Universal TomTom Silikone Urrem,MERGE,MERGE,MERGE,"En god urrem, perfekt til dit håndled og smartwatch. <br/><br/><b>Mål:</b><br/>Længde: 27.2cm<br/>Skivestørrelse: 4.4cm<br/>Skivestørrelse: 4.4cm<br/>Størrelse: 150-200mm<br/><br/><b><i>Pakken inkluderer kun urremmen. Uret medfølger ikke.</i></b>",urrem.dk,"TomTom Spark 3, TomTom Adventurer, TomTom Golfer 2, TomTom Runner 2, TomTom Runner 3, TomTom Runner 3 Series, TomTom Spark",Serie,1,Farve,Grøn,,,100,shopify,3,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1.jpg,#serie_1,1,,,active,SE,Urrem,Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands,"TomTom Spark 3, TomTom Adventurer, TomTom Golfer 2, TomTom Runner 2, TomTom Runner 3, TomTom Spark",Silikone,One-size,#29ad29,false
LCW37-18-001,LCW37-18-001-2,5714864546011,,MERGE,MERGE,MERGE,,,,Serie,2,Farve,Hvid,,,100,shopify,3,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2.jpg,#serie_2,1,,,active,SE,,,,,,#ffffff,false
LCW37-18-001,LCW37-18-001-3,5714864546028,,MERGE,MERGE,MERGE,,,,Serie,3,Farve,Sort,,,100,shopify,2,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3.jpg,#serie_3,1,,,active,SE,,,,,,#000000,false
LCW37-18-001,LCW37-18-001-4,5714864546035,,MERGE,MERGE,MERGE,,,,Serie,4,Farve,Orange,,,100,shopify,3,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4.jpg,#serie_4,1,,,active,SE,,,,,,#eb990c,false
LCW37-18-001,LCW37-18-001-5,5714864546042,,MERGE,MERGE,MERGE,,,,Serie,5,Farve,Blå,,,100,shopify,3,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5.jpg,#serie_5,1,,,active,SE,,,,,,#0430e0,false
LCW37-18-001,LCW37-18-001-6,5714864546059,,MERGE,MERGE,MERGE,,,,Serie,6,Farve,Blå,,,100,shopify,2,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6.jpg,#serie_6,1,,,active,SE,,,,,,#0430e0,false
LCW37-18-001,LCW37-18-001-7,5714864546066,,MERGE,MERGE,MERGE,,,,Serie,7,Farve,Grøn,,,100,shopify,2,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7.jpg,#serie_7,1,,,active,SE,,,,,,#29ad29,false
LCW37-18-001,LCW37-18-001-8,5714864546073,,MERGE,MERGE,MERGE,,,,Serie,8,Farve,Pink,,,100,shopify,2,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-8.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-8.jpg,#serie_8,1,,,active,SE,,,,,,#e024c4,false
LCW37-18-001,LCW37-18-001-9,5714864546080,,MERGE,MERGE,MERGE,,,,Serie,9,Farve,Lilla,,,100,shopify,2,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-9.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-9.jpg,#serie_9,1,,,active,SE,,,,,,#8213c2,false
LCW37-18-001,LCW37-18-001-10,5714864546097,,MERGE,MERGE,MERGE,,,,Serie,10,Farve,Rød,,,100,shopify,3,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-10.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-10.jpg,#serie_10,1,,,active,SE,,,,,,#d61c25,false
LCW37-18-001,LCW37-18-001-11,5714864546103,,MERGE,MERGE,MERGE,,,,Serie,11,Farve,Blå,,,100,shopify,2,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-11.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-11.jpg,#serie_11,1,,,active,SE,,,,,,#0430e0,false
LCW37-18-001,LCW37-18-001-12,5714864546110,,MERGE,MERGE,MERGE,,,,Serie,12,Farve,Rød,,,100,shopify,1,deny,manual,209,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-12.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-12.jpg,#serie_12,1,,,active,SE,,,,,,#d61c25,false
LCW37-07-001,LCW37-07-001-1,5714864831469,Rigtigt kønt Universal TomTom Nylon Urrem,MERGE,MERGE,MERGE,Rem der passer til dit smartwatch. <br/><br/><b>Mål:</b><br/>Størrelse: 28*2.0*0.5cm<br/>Håndledsomkreds: 135-235mm<br/>Skivens diameter: 42.72mm<br/><br/><b><i><b>Bemærk venligst:</b> der medfølger ikke et smartwatch med. Kun remmen.</i></b>,TomTom,"TomTom Spark 3, TomTom Spark, TomTom Adventurer, TomTom Golfer 2, TomTom Runner 2, TomTom Runner 3, TomTom Runner 3 Series, TomTom Golfer 2 SE",Serie,1,Farve,Sort,,,100,shopify,1,deny,manual,169,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-1.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-1.jpg,#serie_1,1,,,active,SE,Urrem,Apparel & Accessories > Jewelry > Watch Accessories > Watch Bands,"TomTom Spark 3, TomTom Spark, TomTom Adventurer, TomTom Golfer 2, TomTom Runner 2, TomTom Runner 3, TomTom Golfer 2 SE",Nylon,One-size,#000000,false
LCW37-07-001,LCW37-07-001-2,5714864831476,,MERGE,MERGE,MERGE,,,,Serie,2,Farve,Sort,,,100,shopify,1,deny,manual,169,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-2.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-2.jpg,#serie_2,1,,,active,SE,,,,,,#000000,false
LCW37-07-001,LCW37-07-001-3,5714864831483,,MERGE,MERGE,MERGE,,,,Serie,3,Farve,Blå,,,100,shopify,1,deny,manual,169,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-3.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-3.jpg,#serie_3,1,,,active,SE,,,,,,#0430e0,false
LCW37-07-001,LCW37-07-001-4,5714864831490,,MERGE,MERGE,MERGE,,,,Serie,4,Farve,Rød,,,100,shopify,1,deny,manual,169,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-4.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-4.jpg,#serie_4,1,,,active,SE,,,,,,#d61c25,false
LCW37-07-001,LCW37-07-001-5,5714864831506,,MERGE,MERGE,MERGE,,,,Serie,5,Farve,Rød,,,100,shopify,1,deny,manual,169,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-5.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-5.jpg,#serie_5,1,,,active,SE,,,,,,#d61c25,false
LCW37-07-001,LCW37-07-001-6,5714864831513,,MERGE,MERGE,MERGE,,,,Serie,6,Farve,Rød,,,100,shopify,1,deny,manual,169,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-6.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-6.jpg,#serie_6,1,,,active,SE,,,,,,#d61c25,false
LCW37-07-001,LCW37-07-001-7,5714864831520,,MERGE,MERGE,MERGE,,,,Serie,7,Farve,Pink,,,100,shopify,1,deny,manual,169,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-7.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-7.jpg,#serie_7,1,,,active,SE,,,,,,#e024c4,false
LCW37-07-001,LCW37-07-001-8,5714864831537,,MERGE,MERGE,MERGE,,,,Serie,8,Farve,Pink,,,100,shopify,1,deny,manual,169,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-8.jpg,https://lux-case.com/media/catalog/product/l/c/lcw37-07-001-8.jpg,#serie_8,1,,,active,SE,,,,,,#e024c4,false
