Handle,Command,Title,Body HTML,Must Match,Rule: Product Column,Rule: Relation,Rule: Condition,Metafield: title_tag [string],Metafield: description_tag [string],Template Suffix,Metafield: custom.belongs_to [single_line_text_field],Metafield: custom.bottom_description [multi_line_text_field]
12mm,Merge,12mm,"Velkommen til et godt udvalg af 12mm urremme. Fylder du kurven for mere end 199kroner, så får du <b>gratis levering.</b>.",all conditions,Tag,Equals,12mm,12mm Remme | Stort Sortiment af Remme til 12mm,"Velkommen til et hav af 12mm Urremme. Bestil inden kl. 15 og vi sender samme dag. Fri Fragt ved køb over 199,-",,Universal,"<h2>12mm Urremme</h2><p>Trænger du til nyt look, så kan en af vores mange 12mm urremme gøre det for dig. Der skal faktisk ikke så meget til før at dit ur kommer til at se anderledes ud. Hvis du f.eks har en siliconerem eller en læderrem, så udstråler du hurtigt et helt andet udtryk. Med vores remme til 12mm har du mangler muligheder for at finde det look som passer til din dag og smartwatch.
Du kan have en læderurrem til forretningsmødet og en silikoneurrem til løbeturen. Vi tilbyder <b>gratis fragt</b>, når du køber for mere end 199kr, så du kan benytte muligheden for at fylde skuffen op med ekstraremme, så du har noget at vælge i mellem</p>"
12mm,Merge,,,,Variant Inventory,Greater Than,0,,,,,
14mm,Merge,14mm,Mangler du en elegant eller behagelig 14mm urrem? Så er du heldig at du er landet hos os! Hos urrem.dk finder du Danmarks Største Udvalg af 14mm remme.,all conditions,Tag,Equals,14mm,14mm Urremme | Gigantisk Udvalg,Stort udvalg af remme til 14mm. Danmarks Største udvalg af Smartwatch urremme. Vi sender inden kl. 15 i dag.,,Universal,"<h2>14mm Urrem</h2><p>Hvis det er på tide at udskifte din nuværende 14mm urrem, så er du havnet det rigtige sted. Her har du nemlig et hav af muligheder, for at give dit smartwatch et helt nyt look.
Hvad enten du skal bruge dit ur til festlige begivenheder, til hverdag eller sport. Vores lager er fyldt med remme til 14mm i mange forskellige farver og materialer, så du har rig mulighed for at finde netop den rem, som du måtte mangle. Husk at hvis du køber for mere end 199kr, betaler vi fragten. Så hvorfor ikke købe en ekstra? Så har du flere forskellige urremme, som du kan skifte efter behov.</p>"
14mm,Merge,,,,Variant Inventory,Greater Than,0,,,,,
16mm,Merge,16mm,"Her har du hele vores udvalg af remme til 16mm. Med en ny urrem kan du gøre dit smartwatch mere personlig. De er nemme at udskifte, så du kan også fylde skuffen med forskellige urremme og udskifte dem efter behov. Køber du får mere end 199,- så leverer vi kvit og frit.",all conditions,Tag,Equals,16mm,16mm Urremme | Største Udvalg i Danmark,"Velkommen til et hav af 16mm Urremme. Bestil inden kl. 15 og vi sender samme dag. Fri Fragt ved køb over 199,-",,Universal,"<h2>Remme til 16mm</h2><p>Velkommen til et stort udvalg af remme til 16mm. Vi har lige den urrem, som du mangler til dit smartwatch.
Mange af de urremme du kan se her på siden er universelle remme, så de passer til dit ur og mange andre. Vores urremme har en perfekt pasform til dit ur.
Vi har sat vores priser ned, så du kan finde en <b>billig 16mm rem</b>, det betyder også at du har rig mulighed for at købe flere, så du også kan få gratis fragt med i købet.</p>"
16mm,Merge,,,,Variant Inventory,Greater Than,0,,,,,
17mm,Merge,17mm,Danmarks Bedste Udvalg af 17mm urremme. Den rem du leder efter finder du her på siden. Vi har i mange forskellige materialer og stilarter. Find den urrem du mangler i dag!,all conditions,Tag,Equals,17mm,"17mm Urremme | Stort Vareudvalg - Fri Fragt over 199,-","Kæmpe Udvalg af 17mm Urremme. Køb for 199,- og vi betaler Fragten. Hurtigt Service. Danmarks Største Udvalg af Remme.",,Universal,"<h2>17mm Urremme</h2><p>Trænger du til nyt look, så kan en af vores mange 17mm urremme gøre det for dig. Der skal faktisk ikke så meget til før at dit ur kommer til at se anderledes ud. Hvis du f.eks har en siliconerem eller en læderrem, så udstråler du hurtigt et helt andet udtryk. Med vores remme til 17mm har du mangler muligheder for at finde det look som passer til din dag og smartwatch.
Du kan have en læderurrem til forretningsmødet og en silikoneurrem til løbeturen. Vi tilbyder <b>gratis fragt</b>, når du køber for mere end 199kr, så du kan benytte muligheden for at fylde skuffen op med ekstraremme, så du har noget at vælge i mellem</p>"
17mm,Merge,,,,Variant Inventory,Greater Than,0,,,,,
18mm,Merge,18mm,"Stort udvalg af 18mm urremme. Hvis din stil er sporty eller klassisk, så kan du med garanti finde en urrem, der passer netop dig. Bestil inden. kl. 15 og vi sender hjem til dig i dag.",all conditions,Tag,Equals,18mm,18mm Urremme | Mægtigt Sortiment af Remme til 18mm,"Velkommen til et hav af 18mm Urremme. Bestil inden kl. 15 og vi sender samme dag. Fri Fragt ved køb over 199,-",,Universal,"<h2>18mm Rem</h2><p>Velkommen til din nye 18mm rem, som du har ledt efter! Vores lager er fyldt med remme til 18mm i alle slags farver og materialer, så har du rig mulighed for at finde lige den urrem som passer til dig, dit håndled, ur og dagligdag. Du finder urremme i forskellige materialer og farver, som gør at du kan finde en urrem, der passer til din dag, uanset om det er en ganske almindelig dag, eller det er en særlig begivenhed. 
Hvis du mangler en erstatningsrem til dit smartwatch i tilfælde af, at din nuværende rem bliver for slidt, så har vi også en lange rækkke billige 18mm remme, som er klar til at blive sendt hjem til dig i dag. Velkommen til danmarks største udvalg af 18mm remme!</p>"
18mm,Merge,,,,Variant Inventory,Greater Than,0,,,,,
