Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW00-00-011-1,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-1-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-1-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-1-e.jpg,#serie_1,2,MERGE
LCW00-00-011-2,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-2-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-2-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-2-c.jpg,#serie_2,2,MERGE
LCW00-00-011-3,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-3-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-3-c.jpg,#serie_3,2,MERGE
LCW00-00-011-4,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-4-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-4-c.jpg,#serie_4,2,MERGE
LCW00-00-011-5,https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-5-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-5-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw-00-00-011-5-c.jpg,#serie_5,2,MERGE
LCW00-00-018-1,https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-1-c.jpg,#serie_1,2,MERGE
LCW00-00-018-2,https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-2-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-2-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-2-c.jpg,#serie_2,2,MERGE
LCW00-00-018-3,https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-3-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-018-3-c.jpg,#serie_3,2,MERGE
LCW00-00-024-1,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1_55.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1_37.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1-a_84.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1-b_85.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1-c_86.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1-d_87.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1-e_88.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1-f_89.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-1.jpg,#serie_1,2,MERGE
LCW00-00-024-2,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2_56.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2_38.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2-a_90.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2-b_91.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2-c_92.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2-d_93.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2-e_94.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2-f_95.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-2.jpg,#serie_2,2,MERGE
LCW00-00-024-3,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3_57.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3_39.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3-a_96.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3-b_97.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3-c_98.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3-d_99.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3-e_100.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3-f_101.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-3.jpg,#serie_3,2,MERGE
LCW00-00-024-4,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-4_58.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-4_40.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-4-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-4-b_0.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-4-c_1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-4-d_2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-4-e_3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-4-f_4.jpg,#serie_4,2,MERGE
LCW00-00-024-5,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5_59.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5_41.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5-a_5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5-b_6.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5-c_7.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5-d_8.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5-e_9.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5-f_10.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-5.jpg,#serie_5,2,MERGE
LCW00-00-024-6,https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6_60.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6_42.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6-a_11.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6-b_12.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6-c_13.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6-d_14.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6-e_15.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6-f_16.jpg; https://lux-case.com/media/catalog/product/l/c/lcw00-00-024-6.jpg,#serie_6,2,MERGE
