dk_addjective
alle tiders
behagelig
cool
elegant
eminent
fantastisk
fed
fint
flot
fortrinligt
fremragende
glimrende
godt
hårdfør
helt vildt behagelig
helt vildt cool
helt vildt elegant
helt vildt fantastisk
helt vildt fed
helt vildt fint
helt vildt flot
helt vildt godt
helt vildt hårdfør
helt vildt holdbart
helt vildt komfortabel
helt vildt kønt
helt vildt nydelig
helt vildt pænt
helt vildt rart
helt vildt sejt
helt vildt skøn
helt vildt slidstærk
helt vildt smuk
holdbart
klassisk
komfortabel
kønt
mega behagelig
mega cool
mega elegant
mega fantastisk
mega fed
mega fint
mega flot
mega godt
mega hårdfør
mega holdbart
mega komfortabel
mega kønt
mega nydelig
mega pænt
mega rart
mega sejt
mega skøn
mega slidstærk
mega smuk
meget behagelig
meget cool
meget elegant
meget fantastisk
meget fed
meget fint
meget flot
meget godt
meget hårdfør
meget holdbart
meget komfortabel
meget kønt
meget nydelig
meget pænt
meget rart
meget sejt
meget skøn
meget slidstærk
meget smuk
nydelig
pænt
rart
rigtigt behagelig
rigtigt cool
rigtigt elegant
rigtigt fantastisk
rigtigt fed
rigtigt fint
rigtigt flot
rigtigt godt
rigtigt hårdfør
rigtigt holdbart
rigtigt komfortabel
rigtigt kønt
rigtigt nydelig
rigtigt pænt
rigtigt rart
rigtigt sejt
rigtigt skøn
rigtigt slidstærk
rigtigt smuk
sejt
skøn
slidstærk
smuk
solid
stilfuld
stilren
super behagelig
super cool
super elegant
super fantastisk
super fed
super fint
super flot
super godt
super hårdfør
super holdbart
super komfortabel
super kønt
super nydelig
super pænt
super rart
super sejt
super skøn
super slidstærk
super smuk
supercool
superflot
tidsløst
udsøgt
vildt behagelig
vildt cool
vildt elegant
vildt fantastisk
vildt fed
vildt fint
vildt flot
vildt godt
vildt hårdfør
vildt holdbart
vildt komfortabel
vildt kønt
vildt nydelig
vildt pænt
vildt rart
vildt sejt
vildt skøn
vildt slidstærk
vildt smuk
yndigt
