name;belongs_to;relationship_type;alternative_names
12mm;Universal;Child;
14mm;Universal;Child;
16mm;Universal;Child;
17mm;Universal;Child;
18mm;Universal;Child;
19mm;Universal;Child;
20mm;Universal;Child;
22mm;Universal;Child;
24mm;Universal;Child;
Amazfit;;Grandparent;
Amazfit 1;Amazfit;Child;
Amazfit 1S;Amazfit;Child;
Amazfit 3;Amazfit;Child;
Amazfit Ares;Amazfit;Child;
Amazfit Band 5;Amazfit;Child;
Amazfit Bip;Amazfit;Parent;
Amazfit Bip 1;Amazfit Bip;Child;
Amazfit Bip Lite;Amazfit Bip;Child;
Amazfit Bip S;Amazfit Bip;Child;
Amazfit Bip U;Amazfit Bip;Child;
Amazfit Cor;Amazfit;Child;
Amazfit GTR;Amazfit;Parent;
Amazfit GTR 2;Amazfit GTR;Child;
Amazfit GTR 2e;Amazfit GTR;Child;
Amazfit GTR 3;Amazfit GTR;Child;
Amazfit GTR 3 Pro;Amazfit GTR;Child;
Amazfit GTR 42mm;Amazfit GTR;Child;
Amazfit GTR 47mm;Amazfit GTR;Child;
Amazfit GTS;Amazfit;Parent;
Amazfit GTS 1;Amazfit GTS;Child;
Amazfit GTS 2;Amazfit GTS;Child;
Amazfit GTS 2 Mini;Amazfit GTS;Child;
Amazfit GTS 2e;Amazfit GTS;Child;
Amazfit GTS 3;Amazfit GTS;Child;
Amazfit Neo;Amazfit;Child;
Amazfit Pace;Amazfit;Child;
Amazfit Pop;Amazfit;Child;
Amazfit Pop Pro;Amazfit;Child;
Amazfit Smartwatch 2;Amazfit;Child;
Amazfit Stratos;Amazfit;Parent;
Amazfit Stratos 1;Amazfit Stratos;Child;
Amazfit Stratos 2 \ 2s;Amazfit Stratos;Child;
Amazfit Stratos 3;Amazfit Stratos;Child;
Amazfit T-Rex;Amazfit;Parent;
Amazfit T-Rex 1;Amazfit T-Rex;Child;
Amazfit T-Rex Pro;Amazfit T-Rex;Child;
Amazfit Verge;Amazfit;Child;
Amazfit Verge 3;Amazfit;Child;
Amazfit X;Amazfit;Child;
Amazfit Youth;Amazfit;Parent;
Amazfit Youth 1;Amazfit Youth;Child;
Amazfit Youth Edition 1S;Amazfit Youth;Child;
Amazon;;Grandparent;
Amazon Halo Band;Amazon;Child;
Amazon Halo View;Amazon;Child;
Apple Watch;;Grandparent;
Apple Watch 40mm;Apple Watch Series;Child;
Apple Watch 41mm;Apple Watch Series;Child;
Apple Watch 44mm;Apple Watch Series;Child;
Apple Watch 45mm;Apple Watch Series;Child;
Apple Watch SE 40mm;Apple Watch Series SE;Child;
Apple Watch SE 44mm;Apple Watch Series SE;Child;
Apple Watch Series;Apple Watch;Parent;
Apple Watch Series 1-3;Apple Watch;Parent;
Apple Watch Series 1-3 38mm;Apple Watch Series 1-3;Child;
Apple Watch Series 1-3 42mm;Apple Watch Series 1-3;Child;
Apple Watch Series 4;Apple Watch;Parent;
Apple Watch Series 4 40mm;Apple Watch Series 4;Child;
Apple Watch Series 4 44mm;Apple Watch Series 4;Child;
Apple Watch Series 5;Apple Watch;Parent;
Apple Watch Series 5 40mm;Apple Watch Series 5;Child;
Apple Watch Series 5 44mm;Apple Watch Series 5;Child;
Apple Watch Series 6;Apple Watch;Parent;
Apple Watch Series 6 40mm;Apple Watch Series 6;Child;
Apple Watch Series 6 44mm;Apple Watch Series 6;Child;
Apple Watch Series 7;Apple Watch;Parent;
Apple Watch Series 7 41mm;Apple Watch Series 7;Child;
Apple Watch Series 7 45mm;Apple Watch Series 7;Child;
Apple Watch Series SE;Apple Watch;Parent;
ASUS Zenwatch;;Grandparent;
ASUS Zenwatch 2;ASUS Zenwatch;Parent;
ASUS Zenwatch 2 Large;ASUS Zenwatch 2;Child;
ASUS Zenwatch 2 Small;ASUS Zenwatch 2;Child;
ASUS ZenWatch 3;ASUS Zenwatch;Child;
Bushnell;;Grandparent;
Bushnell Neo;Bushnell;Parent;
Bushnell Neo Excel;Bushnell Neo;Child;
Bushnell Neo Ion;Bushnell Neo;Child;
Bushnell Neo Ion2;Bushnell Neo;Child;
Casio;;Grandparent;
Casio G-SHOCK DW-5600;Casio;Child;
Casio G-SHOCK G-8900;Casio;Child;
Casio G-SHOCK GA-110;Casio;Child;
Coros;;Grandparent;
Coros Apex;Coros;Child;
Coros Apex Pro;Coros;Child;
Coros Pace 2;Coros;Child;
Coros Vertix;Coros;Child;
Coros Vertix 2;Coros;Child;
Diesel;;Grandparent;
Diesel On Full Guard 2.5;Diesel;Child;
Fitbit;;Grandparent;
Fitbit Ace;Fitbit;Parent;
Fitbit Ace 1;Fitbit Ace;Child;
Fitbit Ace 2;Fitbit Ace;Child;
Fitbit Ace 3;Fitbit Ace;Child;
Fitbit Alta;Fitbit;Parent;
Fitbit Alta 1;Fitbit Alta;Child;
Fitbit Alta HR;Fitbit Alta;Child;
Fitbit Blaze 1;Fitbit;Child;
Fitbit Charge;Fitbit;Parent;
Fitbit Charge 1;Fitbit Charge;Child;
Fitbit Charge 2;Fitbit Charge;Child;
Fitbit Charge 3;Fitbit Charge;Child;
Fitbit Charge 4;Fitbit Charge;Child;
Fitbit Charge 5;Fitbit Charge;Child;
Fitbit Charge HR;Fitbit Charge;Child;
Fitbit Flex;Fitbit;Parent;
Fitbit Flex 1;Fitbit Flex;Child;
Fitbit Flex 2;Fitbit Flex;Child;
Fitbit Inspire;Fitbit;Parent;
Fitbit Inspire 1;Fitbit Inspire;Child;
Fitbit Inspire 2;Fitbit Inspire;Child;
Fitbit Ionic 1;Fitbit;Child;
Fitbit Luxe 1;Fitbit;Child;
Fitbit Sense 1;Fitbit;Child;
Fitbit Surge 1;Fitbit;Child;
Fitbit Versa;Fitbit;Parent;
Fitbit Versa 1;Fitbit Versa;Child;
Fitbit Versa 2;Fitbit Versa;Child;
Fitbit Versa 3;Fitbit Versa;Child;
Fitbit Versa 4;Fitbit Versa;Child;
Fitbit Versa Lite;Fitbit Versa;Child;
Fossil;;Grandparent;
Fossil Crewmaster Hybrid;Fossil;Child;
Fossil Explorist;Fossil;Child;
Fossil Founder;Fossil;Parent;
Fossil Founder 1;Fossil Founder;Child;
Fossil Founder 2.0;Fossil Founder;Child;
Fossil Gen 3;Fossil;Parent;
Fossil Gen 3 Explorist;Fossil Gen 3;Child;
Fossil Gen 4;Fossil;Parent;
Fossil Gen 4 (40mm);Fossil Gen 4;Child;
Fossil Gen 4 Explorist HR;Fossil Gen 4;Child;
Fossil Gen 4 Venture HR;Fossil Gen 4;Child;
Fossil Gen 5;Fossil Gen 5 Series;Child;
Fossil Gen 5 Carlyle HR;Fossil Gen 5 Series;Child;
Fossil Gen 5 Garrett HR;Fossil Gen 5 Series;Child;
Fossil Gen 5 Julianna HR;Fossil Gen 5 Series;Child;
Fossil Gen 5 Series;Fossil;Parent;
Fossil Gen 5E 42mm;Fossil Gen 5 Series;Child;
Fossil Gen 6;Fossil;Child;
Fossil Grant Hybrid;Fossil;Child;
Fossil Hybrid Smartwatch HR;Fossil;Child;
Fossil Marshal Touch;Fossil;Child;
Fossil Men's Sport 43mm;Fossil;Child;
Fossil Q Marshal Gen 2;Fossil;Child;
Fossil Scarlette;Fossil;Child;
Fossil Sport Women's (41mm);Fossil;Child;
Fossil Tailor Hybrid;Fossil;Child;
Fossil Venture;Fossil;Child;
Fossil Wander;Fossil;Child;
Fossil Women's Gen 4 Sport;Fossil Gen 4;Child;
Garmin;;Grandparent;
Garmin Approach;Garmin;Parent;
Garmin Approach G10;Garmin Approach;Child;
Garmin Approach G12;Garmin Approach;Child;
Garmin Approach G30 Golf;Garmin Approach;Child;
Garmin Approach S1;Garmin Approach;Child;
Garmin Approach S2;Garmin Approach;Child;
Garmin Approach S20;Garmin Approach;Child;
Garmin Approach S3;Garmin Approach;Child;
Garmin Approach S4;Garmin Approach;Child;
Garmin Approach S40;Garmin Approach;Child;
Garmin Approach S50;Garmin Approach;Child;
Garmin Approach S6;Garmin Approach;Child;
Garmin Approach S60;Garmin Approach;Child;
Garmin Approach S62;Garmin Approach;Child;
Garmin Approach X10;Garmin Approach;Child;
Garmin Approach X40;Garmin Approach;Child;
Garmin D2;Garmin;Parent;
Garmin D2 Charlie;Garmin D2;Child;
Garmin D2 Delta;Garmin D2;Child;
Garmin Descent;Garmin;Parent;
Garmin Descent G1;Garmin Descent;Child;
Garmin Descent MK1;Garmin Descent;Child;
Garmin Descent Mk2;Garmin Descent;Child;
Garmin Descent Mk2i;Garmin Descent;Child;
Garmin Descent Mk2S 43mm;Garmin Descent;Child;
Garmin Edge;Garmin;Parent;
Garmin Edge 1000;Garmin Edge;Child;
Garmin Edge 1030;Garmin Edge;Child;
Garmin Edge 1030 Plus;Garmin Edge;Child;
Garmin Edge 1040;Garmin Edge;Child;
Garmin Edge 130;Garmin Edge;Child;
Garmin Edge 200;Garmin Edge;Child;
Garmin Edge 25;Garmin Edge;Child;
Garmin Edge 500;Garmin Edge;Child;
Garmin Edge 510;Garmin Edge;Child;
Garmin Edge 520;Garmin Edge;Child;
Garmin Edge 530;Garmin Edge;Child;
Garmin Edge 800 / 810;Garmin Edge;Child;
Garmin Edge 800\810;Garmin Edge;Child;
Garmin Edge 820;Garmin Edge;Child;
Garmin Edge 830;Garmin Edge;Child;
Garmin Edge G80;Garmin Edge;Child;
Garmin Enduro;Garmin;Child;
Garmin Epix;Garmin;Parent;
Garmin Epix 1;Garmin Epix;Child;
Garmin Epix Gen 2;Garmin Epix;Child;
Garmin Etrex;Garmin;Parent;
Garmin eTrex 10;Garmin Etrex;Child;
Garmin eTrex 20;Garmin Etrex;Child;
Garmin eTrex 201x;Garmin Etrex;Child;
Garmin eTrex 209x;Garmin Etrex;Child;
Garmin eTrex 20x;Garmin Etrex;Child;
Garmin eTrex 22x;Garmin Etrex;Child;
Garmin eTrex 30;Garmin Etrex;Child;
Garmin eTrex 309x;Garmin Etrex;Child;
Garmin eTrex 30x;Garmin Etrex;Child;
Garmin eTrex 32x;Garmin Etrex;Child;
Garmin Fenix;Garmin;Parent;
Garmin Fenix 3;Garmin Fenix;Child;
Garmin Fenix 5;Garmin Fenix;Child;
Garmin Fenix 5 Plus;Garmin Fenix;Child;
Garmin Fenix 5S;Garmin Fenix;Child;
Garmin Fenix 5S Plus;Garmin Fenix;Child;
Garmin Fenix 5X;Garmin Fenix;Child;
Garmin Fenix 5X Plus;Garmin Fenix;Child;
Garmin Fenix 6;Garmin Fenix;Child;
Garmin Fenix 6 Pro;Garmin Fenix;Child;
Garmin Fenix 6 Pro Solar;Garmin Fenix;Child;
Garmin Fenix 6S;Garmin Fenix;Child;
Garmin Fenix 6S Pro;Garmin Fenix;Child;
Garmin Fenix 6S Solar Pro;Garmin Fenix;Child;
Garmin Fenix 6X;Garmin Fenix;Child;
Garmin Fenix 6X Pro;Garmin Fenix;Child;
Garmin Fenix 6X Pro Solar;Garmin Fenix;Child;
Garmin Fenix 7;Garmin Fenix;Child;
Garmin Fenix 7S;Garmin Fenix;Child;
Garmin Fenix 7X;Garmin Fenix;Child;
Garmin Fenix Chronos;Garmin Fenix;Child;
Garmin ForeAthlete 35J;Garmin;Child;
Garmin Forerunner;Garmin;Parent;
Garmin Forerunner 10;Garmin Forerunner;Child;
Garmin Forerunner 110;Garmin Forerunner;Child;
Garmin Forerunner 15;Garmin Forerunner;Child;
Garmin Forerunner 158;Garmin Forerunner;Child;
Garmin Forerunner 210;Garmin Forerunner;Child;
Garmin Forerunner 220;Garmin Forerunner;Child;
Garmin Forerunner 225;Garmin Forerunner;Child;
Garmin Forerunner 230;Garmin Forerunner;Child;
Garmin Forerunner 235;Garmin Forerunner;Child;
Garmin Forerunner 245;Garmin Forerunner;Child;
Garmin Forerunner 245 Music;Garmin Forerunner;Child;
Garmin Forerunner 25 Large;Garmin Forerunner;Child;
Garmin Forerunner 25 Small;Garmin Forerunner;Child;
Garmin Forerunner 255;Garmin Forerunner;Child;
Garmin Forerunner 255S;Garmin Forerunner;Child;
Garmin Forerunner 30;Garmin Forerunner;Child;
Garmin Forerunner 310XT;Garmin Forerunner;Child;
Garmin Forerunner 35;Garmin Forerunner;Child;
Garmin Forerunner 410;Garmin Forerunner;Child;
Garmin Forerunner 45;Garmin Forerunner;Child;
Garmin Forerunner 45S;Garmin Forerunner;Child;
Garmin Forerunner 55;Garmin Forerunner;Child;
Garmin Forerunner 610;Garmin Forerunner;Child;
Garmin Forerunner 620;Garmin Forerunner;Child;
Garmin Forerunner 630;Garmin Forerunner;Child;
Garmin Forerunner 645;Garmin Forerunner;Child;
Garmin Forerunner 645 Music;Garmin Forerunner;Child;
Garmin Forerunner 735;Garmin Forerunner;Child;
Garmin Forerunner 735XT;Garmin Forerunner;Child;
Garmin Forerunner 745;Garmin Forerunner;Child;
Garmin Forerunner 910XT;Garmin Forerunner;Child;
Garmin Forerunner 920 XT;Garmin Forerunner;Child;
Garmin Forerunner 935;Garmin Forerunner;Child;
Garmin Forerunner 945;Garmin Forerunner;Child;
Garmin Forerunner 955;Garmin Forerunner;Child;
Garmin Instinct;Garmin;Parent;
Garmin Instinct 2;Garmin Instinct;Child;
Garmin Instinct 2S;Garmin Instinct;Child;
Garmin Instinct Esports;Garmin Instinct;Child;
Garmin Instinct Solar;Garmin Instinct;Child;
Garmin Instinct Tactical;Garmin Instinct;Child;
Garmin Instinct Tide;Garmin Instinct;Child;
Garmin Legacy;Garmin;Parent;
Garmin Legacy 1;Garmin Legacy;Child;
Garmin Legacy Hero;Garmin Legacy;Child;
Garmin Legacy Saga;Garmin Legacy;Child;
Garmin Lily;Garmin;Child;
Garmin MARQ;Garmin;Parent;
Garmin MARQ Adventurer;Garmin MARQ;Child;
Garmin MARQ Aviator;Garmin MARQ;Child;
Garmin MARQ Captain;Garmin MARQ;Child;
Garmin MARQ Driver;Garmin MARQ;Child;
Garmin Quatix;Garmin;Parent;
Garmin Quatix 3;Garmin Quatix;Child;
Garmin Quatix 5;Garmin Quatix;Child;
Garmin Quatix 5 Sapphire;Garmin Quatix;Child;
Garmin Quatix 6;Garmin Quatix;Child;
Garmin Quatix 6X;Garmin Quatix;Child;
Garmin Quatix 7;Garmin Quatix;Child;
Garmin Running Dynamics Pod;Garmin;Child;
Garmin Swim;Garmin;Parent;
Garmin Swim 1;Garmin Swim;Child;
Garmin Swim 2;Garmin Swim;Child;
Garmin Tactix;Garmin;Parent;
Garmin Tactix 7;Garmin Tactix;Child;
Garmin Tactix 7 Pro;Garmin Tactix;Child;
Garmin Tactix Charlie;Garmin Tactix;Child;
Garmin Tactix Delta;Garmin Tactix;Child;
Garmin Venu;Garmin;Parent;
Garmin Venu 2;Garmin Venu;Child;
Garmin Venu 2 Plus;Garmin Venu;Child;
Garmin Venu 2S;Garmin Venu;Child;
Garmin Venu Sq;Garmin Venu;Child;
Garmin Vivoactive;Garmin;Parent;
Garmin Vivoactive 3;Garmin Vivoactive;Child;
Garmin Vivoactive 3 Music;Garmin Vivoactive;Child;
Garmin Vivoactive 3 Trainer;Garmin Vivoactive;Child;
Garmin Vivoactive 4;Garmin Vivoactive;Child;
Garmin Vivoactive 4S;Garmin Vivoactive;Child;
Garmin Vivoactive Acetate;Garmin Vivoactive;Child;
Garmin Vivoactive HR;Garmin Vivoactive;Child;
Garmin Vivofit;Garmin;Parent;
Garmin Vivofit 1;Garmin Vivofit;Child;
Garmin Vivofit 2;Garmin Vivofit;Child;
Garmin Vivofit 3;Garmin Vivofit;Child;
Garmin Vivofit 4;Garmin Vivofit;Child;
Garmin Vivofit JR;Garmin Vivofit;Child;
Garmin Vivofit JR 2;Garmin Vivofit;Child;
Garmin Vivofit Jr 3;Garmin Vivofit;Child;
Garmin Vivomove;Garmin;Parent;
Garmin Vivomove 3;Garmin Vivomove;Child;
Garmin Vivomove 3S;Garmin Vivomove;Child;
Garmin Vivomove HR;Garmin Vivomove;Child;
Garmin Vivomove Luxe;Garmin Vivomove;Child;
Garmin Vivomove Sport;Garmin Vivomove;Child;
Garmin Vivomove Style;Garmin Vivomove;Child;
Garmin Vivosmart;Garmin;Parent;
Garmin Vivosmart 3;Garmin Vivosmart;Child;
Garmin Vivosmart 4;Garmin Vivosmart;Child;
Garmin Vivosmart 5;Garmin Vivosmart;Child;
Garmin Vivosmart HR;Garmin Vivosmart;Child;
Garmin Vivosmart HR+;Garmin Vivosmart;Child;
Garmin Vivosport;Garmin;Child;
GulfBuddy;;Grandparent;
GulfBuddy Voice 2 GPS;GulfBuddy;Child;
GulfBuddy Voice GPS;GulfBuddy;Child;
Haylou;;Grandparent;
Haylou GS;Haylou;Child;
Haylou GST LS09B;Haylou;Child;
Haylou LS04 Solar;Haylou;Child;
Haylou RS3;Haylou;Child;
Haylou RS4 Plus;Haylou;Child;
Haylou RT LS05S;Haylou;Child;
Haylou RT2 (LS10);Haylou;Child;
Haylou SmartWatch;Haylou;Child;
Haylou SmartWatch LS01;Haylou;Child;
Haylou SmartWatch LS02;Haylou;Child;
Haylou Smartwatch RS4;Haylou;Child;
Haylou Solar;Haylou;Child;
Haylou Solar LS02;Haylou;Child;
Haylou Solar LS05;Haylou;Child;
Honor;;Grandparent;
Honor Band;Honor;Parent;
Honor Band 3;Honor Band;Child;
Honor Band 5;Honor Band;Child;
Honor Band 5i;Honor Band;Child;
Honor Band 6;Honor Band;Child;
Honor MagicWatch;Honor;Parent;
Honor MagicWatch 2 42mm;Honor MagicWatch;Child;
Honor MagicWatch 2 46mm;Honor MagicWatch;Child;
Honor S1;Honor;Child;
Honor Watch;Honor;Parent;
Honor Watch Dream;Honor Watch;Child;
Honor Watch ES;Honor Watch;Child;
Honor Watch GS 3;Honor Watch;Child;
Honor Watch GS Pro;Honor Watch;Child;
Huawei;;Grandparent;
Huawei Band 2;Huawei Band 2 Series;Child;
Huawei Band 2 Pro;Huawei Band 2 Series;Child;
Huawei Band 2 Series;Huawei;Parent;
Huawei Band 3;Huawei Band 3 Series;Child;
