Handle,Variant SKU,Variant Barcode,Title,Command,Variant Command,Tags Command,Body (HTML),Vendor,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Variant Image,Image Src,Image Alt Text,Image Position,SEO Title,SEO Description,Status,Variant Country of Origin,Type: Standard ID,Type: Standard Name,Type: Standard,Metafield: custom.compatible_with [list.single_line_text_field],Metafield: custom.multiple_material [list.single_line_text_field],Metafield: custom.storrelse [single_line_text_field],Variant Metafield: custom.farve [list.color],Metafield: mm-google-shopping.custom_product [string]
LCW11-146-006,LCW11-146-006-1,5714864072107,"Huawei Watch GT 2 42mm Glas, Plastik Skærmbeskytter",MERGE,MERGE,MERGE,"<p>HAT PRINCE Plating TPU Watch Case for Huawei Watch GT Elegant 42mm with 0.2mm 9H 2.15D Tempered Glass Screen Film - Black Soft TPU material, non-yellowing and durable Plating edge, looks shiny Precise cut-outs ensure unhindered operation Protects the screen and side from scratch and collision Comes with 0.2mm 9H 2.15D arc edge tempered glass screen film Easy to install and remove Compatible with: Huawei Watch GT Elegant 42mm Package included: 1 x TPU Phone Case 1 x Tempered Glass Screen Protector 1 x Wipe Set Accessory only, watch not included <span style=""font-size: 15px; color: #000000; font-weight: normal; text-decoration: none; font-family: 'docs-Calibri'; font-style: normal; text-decoration-skip-ink: none;"">Size: 130-185mm (Without watch)</span></p>",Huawei,"Huawei, Huawei Watch, Huawei Watch GT, Huawei Watch GT Series, Huawei Watch GT 2 42mm, Huawei Watch GT 2 Series",Serie,1,Farve,Sort,,,100,shopify,0,deny,manual,159,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-036-1_71.jpg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-036-1_71.jpg,#serie_1,1,,,active,SE,1549,Screen Protectors,Electronics > Electronics Accessories > Electronics Films & Shields > Screen Protectors,"Huawei Watch, Huawei Watch GT, Huawei Watch GT 2 42mm","Glas,  Plastik",,#000000,false
LCW11-146-006,LCW11-146-006-2,5714864072114,,MERGE,MERGE,MERGE,"<p>HAT PRINCE Plating TPU Watch Case for Huawei Watch GT Elegant 42mm with 0.2mm 9H 2.15D Tempered Glass Screen Film - Black Soft TPU material, non-yellowing and durable Plating edge, looks shiny Precise cut-outs ensure unhindered operation Protects the screen and side from scratch and collision Comes with 0.2mm 9H 2.15D arc edge tempered glass screen film Easy to install and remove Compatible with: Huawei Watch GT Elegant 42mm Package included: 1 x TPU Phone Case 1 x Tempered Glass Screen Protector 1 x Wipe Set Accessory only, watch not included <span style=""font-size: 15px; color: #000000; font-weight: normal; text-decoration: none; font-family: 'docs-Calibri'; font-style: normal; text-decoration-skip-ink: none;"">Size: 130-185mm (Without watch)</span></p>",,,Serie,2,Farve,Grå,,,100,shopify,0,deny,manual,159,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-036-2_72.jpg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-036-2_72.jpg,#serie_2,1,,,active,SE,,,,,,,#808080,false
LCW11-146-006,LCW11-146-006-3,5714864072121,,MERGE,MERGE,MERGE,"<p>HAT PRINCE Plating TPU Watch Case for Huawei Watch GT Elegant 42mm with 0.2mm 9H 2.15D Tempered Glass Screen Film - Black Soft TPU material, non-yellowing and durable Plating edge, looks shiny Precise cut-outs ensure unhindered operation Protects the screen and side from scratch and collision Comes with 0.2mm 9H 2.15D arc edge tempered glass screen film Easy to install and remove Compatible with: Huawei Watch GT Elegant 42mm Package included: 1 x TPU Phone Case 1 x Tempered Glass Screen Protector 1 x Wipe Set Accessory only, watch not included <span style=""font-size: 15px; color: #000000; font-weight: normal; text-decoration: none; font-family: 'docs-Calibri'; font-style: normal; text-decoration-skip-ink: none;"">Size: 130-185mm (Without watch)</span></p>",,,Serie,3,Farve,Guld,,,100,shopify,0,deny,manual,159,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-036-3_73.jpg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-036-3_73.jpg,#serie_3,1,,,active,SE,,,,,,,#b5a748,false
LCW11-114-040,LCW11-114-040,5714864072138,"Huawei Watch GT Glas, Plastik Skærmbeskytter",MERGE,MERGE,MERGE,"HAT PRINCE TPU Watch Case for Huawei Watch GT Classic/Active /Sport 46mm with 0.2mm 9H 2.15D Tempered Glass Screen Film - Gold

    Soft TPU material, non-yellowing and durable

    Precise cut-outs ensure unhindered operation

    Protects the screen and side from scratch and collision

    Comes with 0.2mm 9H 2.15D arc edge tempered glass screen film

    Easy to install and remove

Compatible with:

    Huawei Watch GT Classic/GT Active /GT Sport 46mm

Package included:

    1 x TPU Phone Case
    1 x Tempered Glass Screen Protector
    1 x Wipe Set
    Accessory only, watch not included",Huawei,"Huawei, Huawei Watch, Huawei Watch GT, Huawei Watch GT Series",Serie,040,Farve,Guld,,,100,shopify,4,deny,manual,159,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-040_74.jpg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-040_74.jpg,#serie_040,1,,,active,SE,1549,Screen Protectors,Electronics > Electronics Accessories > Electronics Films & Shields > Screen Protectors,"Huawei Watch, Huawei Watch GT","Glas,  Plastik",,#b5a748,false
LCW11-114-041,LCW11-114-041-2,5714864072152,"Huawei Watch GT Glas, Plastik Skærmbeskytter",MERGE,MERGE,MERGE,"HAT PRINCE Plating TPU Watch Protective Cover for Huawei Watch GT Classic / GT Active / GT Sport 46mm with 0.2mm 9H 2.15D Tempered Glass Screen Guard - Silver

    Soft TPU material, non-yellowing and durable

    Plating edge, looks shiny 

    Precise cut-outs ensure unhindered operation

    Protects the screen and side from scratch-proof and  collision

    Comes with 0.2mm 9H 2.15D arc edge tempered glass screen film

    Easy to install and remove

Compatible with:

    Watch GT Classic / GT Active / GT Sport 46mm

Package included:

    1 x Plating Edge TPU Phone Case
    1 x Tempered Glass Screen Protector
    1 x Wipe Set
    Accessory only, watch not included",Huawei,"Huawei, Huawei Watch, Huawei Watch GT, Huawei Watch GT Series",Serie,2,Farve,Grå,,,100,shopify,1,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-041-2_76.jpg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-041-2_76.jpg,#serie_2,1,,,active,SE,1549,Screen Protectors,Electronics > Electronics Accessories > Electronics Films & Shields > Screen Protectors,"Huawei Watch, Huawei Watch GT","Glas,  Plastik",,#808080,false
LCW11-114-041,LCW11-114-041-3,5714864072169,,MERGE,MERGE,MERGE,"HAT PRINCE Plating TPU Watch Protective Cover for Huawei Watch GT Classic / GT Active / GT Sport 46mm with 0.2mm 9H 2.15D Tempered Glass Screen Guard - Silver

    Soft TPU material, non-yellowing and durable

    Plating edge, looks shiny 

    Precise cut-outs ensure unhindered operation

    Protects the screen and side from scratch-proof and  collision

    Comes with 0.2mm 9H 2.15D arc edge tempered glass screen film

    Easy to install and remove

Compatible with:

    Watch GT Classic / GT Active / GT Sport 46mm

Package included:

    1 x Plating Edge TPU Phone Case
    1 x Tempered Glass Screen Protector
    1 x Wipe Set
    Accessory only, watch not included",,,Serie,3,Farve,Guld,,,100,shopify,2,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-041-3_77.jpg,https://lux-case.com/media/catalog/product/l/c/lcw11-114-041-3_77.jpg,#serie_3,1,,,active,SE,,,,,,,#b5a748,false
LCW03-232-007,LCW03-232-007-1,5714864220331,Samsung Galaxy Watch Active 2 - 44mm Metal Skærmbeskytter,MERGE,MERGE,MERGE,"Anti Scratch Metal Smartwatch Dial Bezel Rings Accessory for Samsung Galaxy Watch Active2 44mm - Black

    Made of high quality stainless steel material, no odor, hard and wearable

    Come with excellent craftsmanship , classy and stylish

    Prevents daily scratches and provides extra protection for the bezel of your watch

    Precision cutting for best matching the bezel size of the watch

    The adhesive on the bezel ring allows easy attachment and removal of the styling

Specification:

    Material: stainless steel

    Dial width: 44MM

Compatible with:

    Samsung Galaxy Watch Active2 44mm

Package included:

    1 x Bezel Ring
    Other items not included",Samsung,"Samsung, Samsung Galaxy Watch Active 2 - 44mm, Samsung Galaxy Watch Active 2",Serie,1,Farve,Sort,,,100,shopify,1,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw03-232-007-1.jpg,https://lux-case.com/media/catalog/product/l/c/lcw03-232-007-1.jpg,#serie_1,1,,,active,SE,1549,Screen Protectors,Electronics > Electronics Accessories > Electronics Films & Shields > Screen Protectors,Samsung Galaxy Watch Active 2 - 44mm,Metal,,#000000,false
LCW01-32-043,LCW01-32-043-1,5714864204553,Universal Apple Glas Skærmbeskytter,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Case for Apple Watch Series 3/2/1 42mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6.5cm+4.5cm+2cm    Product weight: about 21g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 3 42mm    Apple Watch Series 2 42mm    Apple Watch Series 1 42mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",Apple,"Apple, Apple Watch, Apple Watch Series 1-3 42mm, Apple Watch Series 1-3",Serie,1,Farve,Sort,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-1.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-1.jpg,#serie_1,1,,,active,SE,1549,Screen Protectors,Electronics > Electronics Accessories > Electronics Films & Shields > Screen Protectors,Apple Watch Series 1-3 42mm,Glas,,#000000,false
LCW01-32-043,LCW01-32-043-2,5714864204560,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Case for Apple Watch Series 3/2/1 42mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6.5cm+4.5cm+2cm    Product weight: about 21g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 3 42mm    Apple Watch Series 2 42mm    Apple Watch Series 1 42mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,2,Farve,Grå,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-2.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-2.jpg,#serie_2,1,,,active,SE,,,,,,,#808080,false
LCW01-32-043,LCW01-32-043-3,5714864204577,,MERGE,MERGE,MERGE,"Plating Frame PC + Tempered Glass Watch Case for Apple Watch Series 3/2/1 42mm - Black    Made of premium plastic edge and tempered glass material, good protection    Electroplating workmanship, smooth and metal-like lustre    Accurate opening for unhindered operation    Protect your watch from daily damages    Quick and easy installationSpecification:    Product size: 6.5cm+4.5cm+2cm    Product weight: about 21g    Material: pc+ tempered glassCompatible with:    Apple Watch Series 3 42mm    Apple Watch Series 2 42mm    Apple Watch Series 1 42mmPackage included:    1 x Plating Frame PC + Tempered Glass Watch Case    Other items not included",,,Serie,3,Farve,Gennemsigtig,,,100,shopify,0,deny,manual,139,,TRUE,TRUE,kg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-3.jpg,https://lux-case.com/media/catalog/product/l/c/lcw01-32-043-3.jpg,#serie_3,1,,,active,SE,,,,,,,#e8e8e8,false
