Variant SKU,Vendor,Tags,Metafield: custom.compatible_with [list.single_line_text_field],Variant Metafield: custom.farve [list.color],Variant Metafield: color.string [single_line_text_field],Metafield: mm-google-shopping.custom_product [string]
LCW37-02-001-5,TomTom,"TomTom, TomTom Runner, TomTom Multi-Sport","TomTom Runner, TomTom Multi-Sport",#000000,Sort,false
LCW37-04-001-2,TomTom,"TomTom, TomTom Runner 2, TomTom Runner 2 Series, TomTom Runner 3, TomTom Runner 3 Series, TomTom Spark, TomTom Spark Series, TomTom Spark 3, TomTom Spark 3 Series, TomTom Adventurer","TomTom Runner 2, TomTom Runner 3, TomTom Spark, TomTom Spark 3, TomTom Adventurer",#0430e0,Blå,false
LCW37-04-001-3,,,,#0430e0,Blå,false
LCW37-04-001-4,,,,#29ad29,Grøn,false
LCW37-04-001-5,,,,#0430e0,Blå,false
LCW37-04-001-6,,,,#29ad29,Grøn,false
LCW37-04-001-7,,,,#6b3d1e,Brun,false
LCW37-04-001-8,,,,#d61c25,Rød,false
LCW37-04-001-9,,,,"#c0c0c0, #808080",flerfarvet,false
LCW37-04-001-10,,,,#ffffff,Hvid,false
LCW37-04-001-11,,,,#000000,Sort,false
LCW37-03-001-1,TomTom,"TomTom, TomTom Touch",TomTom Touch,#8213c2,Lilla,false
LCW37-03-001-2,,,,#0430e0,Blå,false
LCW37-03-001-3,,,,#0430e0,Blå,false
LCW37-03-001-4,,,,#faf14d,Gul,false
LCW37-03-001-5,,,,#eb990c,Orange,false
LCW37-03-001-6,,,,#e024c4,Pink,false
LCW37-03-001-7,,,,#d61c25,Rød,false
LCW37-03-001-8,,,,#000000,Sort,false
LCW37-00-001-1,TomTom,"TomTom, TomTom Runner 2, TomTom Runner 2 Series, TomTom Runner 3, TomTom Runner 3 Series, TomTom Multi-Sport","TomTom Runner 2, TomTom Runner 3, TomTom Multi-Sport",#000000,Sort,false
LCW37-00-001-2,,,,#000000,Sort,false
LCW37-00-001-3,,,,#000000,Sort,false
LCW37-00-001-4,,,,#e024c4,Pink,false
LCW37-00-001-5,,,,#eb990c,Orange,false
LCW37-00-001-6,,,,#29ad29,Grøn,false
LCW37-00-001-7,,,,#0430e0,Blå,false
LCW37-00-001-8,,,,#0430e0,Blå,false
LCW37-00-001-9,,,,#8213c2,Lilla,false
LCW37-00-002-1,TomTom,"TomTom, TomTom Golfer 2, TomTom Golfer Series, TomTom Runner 3, TomTom Runner 3 Series","TomTom Golfer 2, TomTom Runner 3",#000000,Sort,false
LCW37-00-002-3,,,,"#c0c0c0, #808080",flerfarvet,false
