Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW45-22-001-1,https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-1-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-1-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-1-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-1-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-1-g.jpg,#serie_1,2,MERGE
LCW45-22-001-4,https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-4-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-4-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-4-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-4-e.jpg,#serie_4,2,MERGE
LCW45-22-001-3,https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-3-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-3-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-3-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-3-e.jpg,#serie_3,2,MERGE
LCW45-22-001-2,https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-2-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-2-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-2-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-2-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-2-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-2-f.jpg,#serie_2,2,MERGE
LCW45-22-001-5,https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-5-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-5-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-5-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-5-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-5-e.jpg,#serie_5,2,MERGE
LCW45-22-001-6,https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-6.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-6-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-6-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-6-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-6-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-6-e.jpg,#serie_6,2,MERGE
LCW45-22-001-7,https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-7.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-7-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-7-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-7-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-7-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-7-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-001-7-f.jpg,#serie_7,2,MERGE
LCW45-22-002-4,https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-4-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-4-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-4-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-4-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-4-g.jpg,#serie_4,2,MERGE
LCW45-22-002-3,https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-3-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-3-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-3-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-3-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-3-f.jpg,#serie_3,2,MERGE
LCW45-22-002-1,https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-1-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-1-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-1-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw45-22-002-1-f.jpg,#serie_1,2,MERGE
