Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW37-02-001-5,https://lux-case.com/media/catalog/product/L/C/LCW37-02-001-5.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-02-001-5-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-02-001-5-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-02-001-5-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-02-001-5-D.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-02-001-5-E.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-02-001-5-F.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-02-001-5-G.jpg,#serie_5,2,MERGE
LCW37-04-001-2,https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-2.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-2-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-2-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-2-C.jpg,#serie_2,2,MERGE
LCW37-04-001-3,https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-3.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-3-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-3-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-3-C.jpg,#serie_3,2,MERGE
LCW37-04-001-4,https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-4.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-4-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-4-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-4-C.jpg,#serie_4,2,MERGE
LCW37-04-001-5,https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-5.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-5-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-5-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-5-C.jpg,#serie_5,2,MERGE
LCW37-04-001-6,https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-6.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-6-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-6-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-6-C.jpg,#serie_6,2,MERGE
LCW37-04-001-7,https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-7.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-7-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-7-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-7-C.jpg,#serie_7,2,MERGE
LCW37-04-001-8,https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-8.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-8-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-8-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-8-C.jpg,#serie_8,2,MERGE
LCW37-04-001-9,https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-9.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-9-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-9-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-9-C.jpg,#serie_9,2,MERGE
LCW37-04-001-10,https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-10.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-10-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-10-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-10-C.jpg,#serie_10,2,MERGE
LCW37-04-001-11,https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-11.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-11-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-11-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-11-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-11-D.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-04-001-11-E.jpg,#serie_11,2,MERGE
LCW37-03-001-1,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-1.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-1-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-1-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-1-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-1-D.jpg,#serie_1,2,MERGE
LCW37-03-001-2,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-2.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-2-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-2-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-2-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-2-D.jpg,#serie_2,2,MERGE
LCW37-03-001-3,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-3.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-3-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-3-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-3-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-3-D.jpg,#serie_3,2,MERGE
LCW37-03-001-4,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-4.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-4-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-4-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-4-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-4-D.jpg,#serie_4,2,MERGE
LCW37-03-001-5,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-5.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-5-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-5-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-5-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-5-D.jpg,#serie_5,2,MERGE
LCW37-03-001-6,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-6.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-6-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-6-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-6-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-6-D.jpg,#serie_6,2,MERGE
LCW37-03-001-7,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-7.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-7-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-7-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-7-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-7-D.jpg,#serie_7,2,MERGE
LCW37-03-001-8,https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-8.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-8-A.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-8-B.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-8-C.jpg; https://lux-case.com/media/catalog/product/L/C/LCW37-03-001-8-D.jpg,#serie_8,2,MERGE
